"round","investment","la","lb","lc","ld","le","lf","lg","lh","payoff","n","b","exolinks","star","core","session","group","role","bet","totalearnings","treatment","topinfo1","topinfo2","topinfo3"
41,2,0,0,0,0,0,0,0,0,240,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
51,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
47,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
38,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
39,2,0,0,0,0,0,0,0,0,42,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
35,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
46,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
37,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
59,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
54,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
65,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
58,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
63,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
56,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
57,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
55,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
64,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
66,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
62,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
53,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
60,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
61,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
52,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
67,0,0,0,0,0,1,0,0,0,82,8,66,1,1,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
2,2,0,0,0,0,0,0,0,0,174,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",4,3,2
13,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",3,2,1
15,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
6,2,0,0,0,0,0,0,0,0,438,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
11,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",2,1,0
3,2,0,0,0,1,0,0,0,0,88,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",4,3,2
9,2,0,0,0,0,0,0,0,0,306,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",3,2,1
1,2,0,0,0,0,0,0,0,0,174,8,66,1,0,0,16,1,"b",600,60.4000015258789,"n8b66EXO",4,2,1
14,2,0,0,0,0,0,0,0,0,504,8,66,1,1,1,16,1,"b",600,60.4000015258789,"n8b66EXO",3,2,1
